Código;descricao_insumo;descricao_detalhes;Descrição;Descrição Família Insumo;Descrição Conta Financeira
370;VIGIA;;VIGIA;;Salários e Ordenados
371;TRAINEE DE ENGENHARIA;;TRAINEE DE ENGENHARIA;;Salários e Ordenados
372;TOPOGRAFO;;TOPOGRAFO;;Salários e Ordenados
373;TECNICO EM SEGURANÇA DO TRABALHO;;TECNICO EM SEGURANÇA DO TRABALHO;;Salários e Ordenados
374;TECNICO EM EDIFICAÇOES;;TECNICO EM EDIFICAÇOES;;Salários e Ordenados
375;SUPERVISOR DE OBRAS;;SUPERVISOR DE OBRAS;;Salários e Ordenados
376;SERVENTE;;SERVENTE;;Salários e Ordenados
377;PINTOR;;PINTOR;;Salários e Ordenados
378;PEDREIRO;;PEDREIRO;;Salários e Ordenados
379;OPERADOR PULLER;;OPERADOR PULLER;;Salários e Ordenados
380;OPERADOR FREIO;;OPERADOR FREIO;;Salários e Ordenados
381;OPERADOR DE MOTOSERRA;;OPERADOR DE MOTOSERRA;;Salários e Ordenados
382;OPERADOR DE MAQUINAS;;OPERADOR DE MAQUINAS;;Salários e Ordenados
383;OPERADOR DE GUINDASTE;;OPERADOR DE GUINDASTE;;Salários e Ordenados
384;MOTORISTA OPERACIONAL;;MOTORISTA OPERACIONAL;;Salários e Ordenados
385;MOTORISTA;;MOTORISTA;;Salários e Ordenados
386;MONTADOR;;MONTADOR;;Salários e Ordenados
387;GERENTE ADMINISTRATIVO;;GERENTE ADMINISTRATIVO;;Salários e Ordenados
388;ENGENHEIRO RESIDENTE;;ENGENHEIRO RESIDENTE;;Salários e Ordenados
389;ENGENHEIRO DE SEGURANÇA DO;;ENGENHEIRO DE SEGURANÇA DO;;Salários e Ordenados
390;ENCARREGADO DE OBRAS CIVIL;;ENCARREGADO DE OBRAS CIVIL;;Salários e Ordenados
391;ENCARREGADO DE MONTAGEM;;ENCARREGADO DE MONTAGEM;;Salários e Ordenados
392;ENCARREGADO DE LANÇAMENTO;;ENCARREGADO DE LANÇAMENTO;;Salários e Ordenados
393;ELETRICISTA;;ELETRICISTA;;Salários e Ordenados
394;COZINHEIRO;;COZINHEIRO;;Salários e Ordenados
395;COORDENADOR DE OBRA;;COORDENADOR DE OBRA;;Salários e Ordenados
396;CARPINTEIRO;;CARPINTEIRO;;Salários e Ordenados
397;AUXILIAR DE MONTADOR;;AUXILIAR DE MONTADOR;;Salários e Ordenados
